Tabella 1
show_id;View
s1;1946
s2;1410
s3;3525
s4;2501
s5;5454
s6;9119
s7;2944
s8;1987
s9;1785
s10;4723
s11;8126
s12;5714
s13;3319
s14;9700
s15;4511
s16;7653
s17;2730
s18;2858
s19;4032
s20;6787
s21;7175
s22;4713
s23;5261
s24;1851
s25;2014
s26;7578
s27;4346
s28;4352
s29;5708
s30;6162
s31;9496
s32;8021
s33;2431
s34;3417
s35;7218
s36;4047
s37;3544
s38;8477
s39;1414
s40;9413
s41;2149
s42;7192
s43;5633
s44;7875
s45;7219
s46;7551
s47;6503
s48;3260
s49;7424
s50;6837
s51;7178
s52;3004
s53;6005
s54;9388
s55;1983
s56;3936
s57;4428
s58;7291
s59;6392
s60;1491
s61;7757
s62;8735
s63;1542
s64;9755
s65;3504
s66;7189
s67;2306
s68;8137
s69;2154
s70;2542
s71;8323
s72;8021
s73;2532
s74;6681
s75;9792
s76;6460
s77;2859
s78;4942
s79;6757
s80;2253
s81;8226
s82;8489
s83;7787
s84;4883
s85;8348
s86;7874
s87;9235
s88;3930
s89;9923
s90;1802
s91;4606
s92;1419
s93;2711
s94;3337
s95;7328
s96;9065
s97;9775
s98;4094
s99;8508
s100;7123
s101;9308
s102;8776
s103;4211
s104;4860
s105;2388
s106;1900
s107;5259
s108;8337
s109;2013
s110;4220
s111;1714
s112;2136
s113;5559
s114;9830
s115;5806
s116;4298
s117;9283
s118;2150
s119;1673
s120;2516
s121;2659
s122;8089
s123;7798
s124;7341
s125;8001
s126;8145
s127;1042
s128;7966
s129;8928
s130;3237
s131;4889
s132;2408
s133;8728
s134;6601
s135;5671
s136;4407
s137;9157
s138;6514
s139;9200
s140;4952
s141;4016
s142;7705
s143;9064
s144;3058
s145;2963
s146;8811
s147;4153
s148;1800
s149;9587
s150;7059
s151;2246
s152;7557
s153;6773
s154;4633
s155;9580
s156;2304
s157;9130
s158;8386
s159;1195
s160;7060
s161;4159
s162;8956
s163;2493
s164;8503
s165;9129
s166;6045
s167;4199
s168;3475
s169;7921
s170;9566
s171;4838
s172;9846
s173;5281
s174;4463
s175;7024
s176;9083
s177;6265
s178;7315
s179;8199
s180;5774
s181;2138
s182;8596
s183;5262
s184;5843
s185;9732
s186;6602
s187;8807
s188;6372
s189;6760
s190;7964
s191;2029
s192;5072
s193;3965
s194;6402
s195;8311
s196;9747
s197;7770
s198;5160
s199;3390
s200;3351
s201;4084
s202;2462
s203;2925
s204;6217
s205;9446
s206;1619
s207;1189
s208;3186
s209;4532
s210;8465
s211;5435
s212;3076
s213;2090
s214;6748
s215;3184
s216;8260
s217;4757
s218;2096
s219;2405
s220;2104
s221;1168
s222;8769
s223;2746
s224;3780
s225;5631
s226;9853
s227;2626
s228;5059
s229;5278
s230;8813
s231;4946
s232;3192
s233;4364
s234;7728
s235;3529
s236;1062
s237;9813
s238;2840
s239;7153
s240;5912
s241;4835
s242;5311
s243;9512
s244;7946
s245;4645
s246;2083
s247;7163
s248;7060
s249;7844
s250;1091
s251;3078
s252;5775
s253;9040
s254;9591
s255;1221
s256;9566
s257;3954
s258;4272
s259;4989
s260;5145
s261;6717
s262;3762
s263;4529
s264;5173
s265;3330
s266;4140
s267;9875
s268;3360
s269;4646
s270;5093
s271;5827
s272;2522
s273;6633
s274;1127
s275;4828
s276;5850
s277;4419
s278;7919
s279;5848
s280;3585
s281;3756
s282;4558
s283;8619
s284;9315
s285;1964
s286;9953
s287;1124
s288;7528
s289;9924
s290;1573
s291;7075
s292;3834
s293;2958
s294;7277
s295;9971
s296;1134
s297;8106
s298;6510
s299;1208
s300;1303
s301;7309
s302;6501
s303;2946
s304;6837
s305;6735
s306;2202
s307;6358
s308;9013
s309;3867
s310;5597
s311;8124
s312;3714
s313;6471
s314;5078
s315;9709
s316;6590
s317;9593
s318;6604
s319;4598
s320;4234
s321;5683
s322;1317
s323;2593
s324;4467
s325;1642
s326;6710
s327;2962
s328;9873
s329;4692
s330;4411
s331;1465
s332;8277
s333;2686
s334;4833
s335;2440
s336;8440
s337;1456
s338;1056
s339;8823
s340;9294
s341;9546
s342;4429
s343;1839
s344;6899
s345;8422
s346;9286
s347;1725
s348;9658
s349;5127
s350;6537
s351;8655
s352;5536
s353;7423
s354;1287
s355;4553
s356;9210
s357;1749
s358;5919
s359;4297
s360;3966
s361;9586
s362;2831
s363;4439
s364;5332
s365;2491
s366;4583
s367;5422
s368;7648
s369;6256
s370;6029
s371;8842
s372;4745
s373;1007
s374;4499
s375;9323
s376;4924
s377;5865
s378;5685
s379;2556
s380;2980
s381;6974
s382;4940
s383;1614
s384;8085
s385;7230
s386;9544
s387;2126
s388;6363
s389;4291
s390;4257
s391;3556
s392;3458
s393;2426
s394;2319
s395;5841
s396;1509
s397;9599
s398;5792
s399;5910
s400;3393
s401;2674
s402;7797
s403;8819
s404;9817
s405;1114
s406;3543
s407;2302
s408;8641
s409;3417
s410;6557
s411;8882
s412;8024
s413;7164
s414;4066
s415;9991
s416;7410
s417;3866
s418;5938
s419;8188
s420;1402
s421;6810
s422;7786
s423;3853
s424;9321
s425;2727
s426;4837
s427;3512
s428;9108
s429;2256
s430;3528
s431;9155
s432;4405
s433;6132
s434;5170
s435;5638
s436;3608
s437;6462
s438;4139
s439;9567
s440;1565
s441;1929
s442;4353
s443;1157
s444;7562
s445;7691
s446;1322
s447;1578
s448;1796
s449;1983
s450;8139
s451;5351
s452;2667
s453;3509
s454;3889
s455;2354
s456;6211
s457;7690
s458;3398
s459;8692
s460;8658
s461;5356
s462;7909
s463;9827
s464;3316
s465;2017
s466;3717
s467;5675
s468;6188
s469;7803
s470;8783
s471;9955
s472;1165
s473;5935
s474;5732
s475;1086
s476;2300
s477;8064
s478;8159
s479;3295
s480;8178
s481;4791
s482;3472
s483;7979
s484;2279
s485;6973
s486;6328
s487;9899
s488;7830
s489;3022
s490;1183
s491;3282
s492;5146
s493;5307
s494;7258
s495;3147
s496;9696
s497;8083
s498;1451
s499;8693
s500;7764
s501;3919
s502;8016
s503;6959
s504;7858
s505;2953
s506;7544
s507;2450
s508;5399
s509;8932
s510;8780
s511;3679
s512;5618
s513;5627
s514;4911
s515;7795
s516;5497
s517;5164
s518;1358
s519;1121
s520;5882
s521;7074
s522;2373
s523;2907
s524;8951
s525;2062
s526;4340
s527;8651
s528;3200
s529;8879
s530;3679
s531;3862
s532;2075
s533;7082
s534;4568
s535;5913
s536;2030
s537;3065
s538;2231
s539;1007
s540;1216
s541;9707
s542;9324
s543;7424
s544;6521
s545;9765
s546;3919
s547;4455
s548;6563
s549;5099
s550;5265
s551;1042
s552;9950
s553;8001
s554;3953
s555;9782
s556;8488
s557;3259
s558;1867
s559;1600
s560;5069
s561;5097
s562;5245
s563;5837
s564;9874
s565;5517
s566;8465
s567;6947
s568;1321
s569;1248
s570;1315
s571;4358
s572;9389
s573;4417
s574;8192
s575;4776
s576;1193
s577;6989
s578;6334
s579;6097
s580;9471
s581;5406
s582;4097
s583;3521
s584;6004
s585;7298
s586;5618
s587;5637
s588;3802
s589;5489
s590;5851
s591;9635
s592;8500
s593;2608
s594;3504
s595;2111
s596;3849
s597;6346
s598;5446
s599;8134
s600;4145
s601;9392
s602;2005
s603;3918
s604;9592
s605;8343
s606;3866
s607;3219
s608;8430
s609;6502
s610;1871
s611;1592
s612;8865
s613;4104
s614;3122
s615;5785
s616;9143
s617;7563
s618;3700
s619;8862
s620;9718
s621;4727
s622;4704
s623;5924
s624;2220
s625;7294
s626;5531
s627;6816
s628;2590
s629;9108
s630;5327
s631;4234
s632;3941
s633;3515
s634;6100
s635;6969
s636;7715
s637;8226
s638;5972
s639;7364
s640;7288
s641;2929
s642;7755
s643;2392
s644;7984
s645;6226
s646;6867
s647;4333
s648;4623
s649;8704
s650;1593
s651;8378
s652;4815
s653;5360
s654;9994
s655;7447
s656;3103
s657;5953
s658;7593
s659;6302
s660;9097
s661;1560
s662;6555
s663;5850
s664;4327
s665;8180
s666;4164
s667;5048
s668;2588
s669;3231
s670;9672
s671;8955
s672;2165
s673;4386
s674;6831
s675;9868
s676;5073
s677;9032
s678;1685
s679;7796
s680;3816
s681;5766
s682;1611
s683;2936
s684;9368
s685;5095
s686;4488
s687;6475
s688;9327
s689;5120
s690;8363
s691;9310
s692;6221
s693;2954
s694;4110
s695;4631
s696;8069
s697;7483
s698;6036
s699;5107
s700;6028
s701;8607
s702;9331
s703;8114
s704;8448
s705;3541
s706;1581
s707;8586
s708;5334
s709;7847
s710;3959
s711;7126
s712;3411
s713;1975
s714;9641
s715;7040
s716;9429
s717;9717
s718;1039
s719;9899
s720;9467
s721;2673
s722;3674
s723;5018
s724;3775
s725;9738
s726;8087
s727;9082
s728;7450
s729;9660
s730;8125
s731;8922
s732;5962
s733;7132
s734;8351
s735;6912
s736;5818
s737;7306
s738;3409
s739;9021
s740;3054
s741;1127
s742;3855
s743;6052
s744;5452
s745;7558
s746;5230
s747;7390
s748;2698
s749;1888
s750;5211
s751;8939
s752;6133
s753;2007
s754;6986
s755;5653
s756;3326
s757;5959
s758;9956
s759;3259
s760;5157
s761;6213
s762;7964
s763;7435
s764;9554
s765;5700
s766;8976
s767;6510
s768;8840
s769;2943
s770;4134
s771;1363
s772;1384
s773;9924
s774;5508
s775;7022
s776;8973
s777;5550
s778;2049
s779;4998
s780;4636
s781;6899
s782;9747
s783;9315
s784;3160
s785;1264
s786;9719
s787;2168
s788;3035
s789;3372
s790;5418
s791;9003
s792;9656
s793;2909
s794;5078
s795;7286
s796;1819
s797;2870
s798;2961
s799;7217
s800;2236
s801;9000
s802;3259
s803;5288
s804;4786
s805;5065
s806;1435
s807;2035
s808;8769
s809;6544
s810;8899
s811;4952
s812;1015
s813;3573
s814;4149
s815;7372
s816;3953
s817;8706
s818;3897
s819;7742
s820;3979
s821;7278
s822;7502
s823;2483
s824;8381
s825;7393
s826;3117
s827;3583
s828;2571
s829;4379
s830;4338
s831;8328
s832;9173
